Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
A/NT Gallery,(206) 233-0680,www.antgallery.org,3280,South Lake Union,Y,Visual,1993,R,1920,2015,1988,1,0,0,Y,3280,Partial,0,Y,Y,N,,N,2,,,,,,,0,2045 Westlake Ave Seattle WA 98121,"(47.615859200000003, -122.338453)"
Alki Arts,(206) 432-9936,www.alkiarts.com,6000,Downtown,N,Visual,2012,R,,2014,2009,2,0,0,Y,6000,,0,Y,Y,Y,,N,2,,,,,,,0,55 University Seattle WA 98101,"(47.6060923, -122.33954319999999)"
Art Xchange Gallery,(206) 839-0377,www.artxchange.org,2000,Pioneer Square,N,Visual,2005,O,,0,1995,2,0,0,Y,,Y,4,Y,Y,N,,N,4,,,,,,,0,512 1st Ave S Seattle WA 98104,"(47.597901700000001, -122.3339034)"
Avanti Art and Design/Avanti Co-Op Gallery,(206) 784-8475,www.avantiartdesign.org,1500,Phinney Ridge,,Visual,2012,R,1920,10,2011,1,0,0,Y,1100,,2,Y,Y,N,,N,4,,,,,,,0,7601 Greenwood Ave N #101 Seattle WA 98103,"(47.684140599999999, -122.3555094)"
Bherd Studios,(206) 234-8348,www.bherdstudios.com,1000,Greenwood,N,Visual,2011,R,,2015,2006,2,0,0,,,N,20,N,N,N,,N,2,,,,,,,0,312 N. 85th St. Suite 101 Seattle WA 98103,"(47.690773450000002, -122.35497909999999)"
C Art Gallery in Artspace Hiawatha Lofts,(206) 322-9374,www.cartgallery.org,,Central District,N,Visual,2008,R,2008,,2008,0,0,0,Y,600,Y,0,Y,Y,N,,N,2,,,,,,,0,855 Hiawatha Pl S Seattle WA 98144,"(47.594554000000002, -122.3095312)"
Canlis Glass,(206) 282-4428,www.canlisglass.com,3500,Uptown,N,Visual,2005,R,1928,2015,1996,0,0,0,Y,2000,Y,0,Y,Y,N,,N,4,,,,,,,0,3131 Western Ave #329 Seattle WA 98121,"(47.618261699999998, -122.3577413)"
CoCA,(206) 728-1980,www.cocaseattle.org,4600,Georgetown,Y,Visual,2010,R,1983,2013,1980,10,0,0,Y,4000,Y,295,N,N,N,,Y,4,,,,,,,0,5701 6th Ave S #258 Seattle WA 98108,"(47.551466400000002, -122.3283134)"
Contactcreate,(206) 280-1230,www.contactcreate.com,1200,Beacon Hill,N,Visual,2011,O,1978,0,2012,0,0,0,N,0,Partial,5,N,N,N,,N,4,,,,,,,0,928 13th Ave Seattle WA 98122,"(47.611257999999999, -122.315128)"
Danaca Design,(206) 524-0916,www.danacadesign.com,1100,University,N,Visual,2003,R,1902,None,2001,1,0,0,Y,64,Partial,0,Y,N,N,,N,1,,,,,,,0,5619 University Way NE Seattle WA 98105,"(47.6701069, -122.313258)"
Echo Echo Gallery,(206) 633-1236,www.echoechogallery.com,3000,Greenwood,N,Visual,2010,R,,It's month to month.,2007,0,0,0,Y,600,N,0,Y,Y,Y,,N,3,,,,,,,0,8537 Greenwood Ave N Seattle WA 98103,"(47.691634200000003, -122.3557113)"
Edd Cox Fine Art,(206) 682-4046,www.eddcoxfineart.com,4500,Pioneer Square,N,Visual,2010,R,1900,2017,1978,4,0,0,Y,1500,Y,0,Y,N,Y,,N,3,,,,,,,0,313 1st Ave S Seattle WA 98104,"(47.599577199999999, -122.3345636)"
Form/Space Atelier,(206) 349-2509,www.formspaceatelier.com,333,Belltown,N,Visual,2006,R,1905,It's month to month.,2006,1,1,12,N,0,Partial,0,Y,Y,N,,N,2,,,,,,,0,2407 1st Ave Seattle WA 98121,"(47.614204200000003, -122.34841900000001)"
Foster/White Gallery,(206) 622-2833,www.fosterwhite.com,10000,Pioneer Square,N,Visual,2005,O,1904,0,1973,2,0,0,,,Y,0,Y,N,N,,N,5,,,,,,,0,220 3rd Ave S Seattle WA 98104,"(47.6002759, -122.3299406)"
Fountainhead Gallery,(206) 285-4467,www.fountainheadgallery.com,2100,Queen Anne,N,Visual,1996,R,1927,2021,1996,0,0,0,Y,1500,Partial,0,Y,N,Y,,N,4,,,,,,,0,625 W McGraw St Seattle WA 98119,"(47.639441699999999, -122.3660888)"
Frame Central/North West Framing Cloud Gallery,(206) 720-2054,www.framecentral.com,700,Capitol Hill,,Visual,2011,Other,1900,0,2011,1,0,0,Y,700,N,0,Y,N,N,,N,4,,,,,,,0,901 E Pike St Seattle WA 98122,"(47.613902000000003, -122.32033749999999)"
Gage Academy of Art,(206) 323-4243,www.gageacademy.org,18000,Capitol Hill,Y,Visual,2004,R,1925,2013,1989,2,1,,Y,400,N,180,Y,N,Y,,Y,3,,,,,,,0,1501 10th Ave East #101 Seattle WA 98102,"(47.632549699999998, -122.32068940000001)"
Gallery 110 in Tashiro Kaplan,(206) 624-9336,www.gallery110.wordpress.com,,Pioneer Square,Y,Visual,2009,R,1902,2014,2002,1,0,0,,,Y,0,Y,,Y,,N,5,,,,,,,0,110 3rd Ave S Seattle WA 98104,"(47.601259800000001, -122.330003)"
Gallery Context,(206) 553-9437,www.gallerycontext.wordpress.com,3000,Georgetown,,Visual,2011,R,1977,,2012,1,0,0,Y,3000,Y,50,N,N,N,,N,2,,,,,,,0,5701 Sixth Ave South Seattle WA 98108,"(47.551466400000002, -122.3283134)"
Gallery IMA,(206) 625-0055,www.galleryima.com,3658,Pioneer Square,N,Visual,2006,O,1902,0,2006,6,0,0,Y,3658,,2,Y,Y,N,,N,3,,,,,,,0,123 S Jackson St Seattle WA 98104,"(47.598964299999999, -122.33310349999999)"
Georgetown Trailer Park Mall,(206) 767-0331,www.georgetowntrailerpark.com,3000,Georgetown,Y,Visual,2011,R,,It's month to month.,2009,1,1,,Y,200,,12,,Y,N,,N,3,,,,,,,0,5805 Airport Way S Seattle WA 98108,"(47.550591509999997, -122.3183935)"
Ghost Gallery,(206) 832-6063,www.ghostgalleryart.com,900,Capitol Hill,N,Visual,2010,R,1926,It's month to month.,2006,1,0,0,Y,800,Y,0,N,N,N,,N,3,,,,,,,0,504 E Denny Way Seattle WA 98122,"(47.618681299999999, -122.3249251)"
Grover Thurston Gallery,(206) 223-0816,www.groverthurston.com,1500,Pioneer Square,N,Visual,2010,R,1910,,1989,2,0,0,Y,1500,Partial,0,Y,N,N,,N,4,,,,,,,0,319 3rd Ave S Seattle WA 98104,"(47.5994156, -122.33051469999999)"
Kate Alkarni Gallery,(206) 453-0043,www.katealkarnigallery.com,1500,Georgetown,N,Visual,2012,R,1968,2014,2012,0,0,0,Y,1500,Y,,Y,N,Y,,N,4,,,,,,,0,5701 6th Ave S Atrium Suite 221 Seattle WA 98108,"(47.551466400000002, -122.3283134)"
Kinsey Gallery,(206) 296-2340,www.seattleu.edu/artsci/departments/fine-arts/venues/kinsey,150,First Hill,Y,Visual,2008,O,2009,0,2008,0,0,0,Y,,Y,0,Y,Y,Y,,N,5,,,,,,,0,824 12th Ave Seattle WA 98122,"(47.6100596, -122.3163837)"
Krab Jab Studio,(206) 715-8593,www.krabjabstudio.com,946,Georgetown,N,Visual,2009,R,1893,2014,2011,2,0,0,Y,400,,25,N,Y,N,,N,4,,,,,,,0,5628 Airport Way South Ste 246 Seattle WA 98108,"(47.551523099999997, -122.3186879)"
L x W x H,(206) 697-5156,www.lengthbywidthbyheight.com,404,Georgetown,N,Visual,2012,R,1907,2014,2010,0,0,0,Y,404,N,0,Y,N,N,,N,5,,,,,,,0,6007 12th Ave S Seattle WA 98108,"(47.548865399999997, -122.3174654)"
Lisa Harris Gallery,(206) 443-3315,www.lisaharrisgallery.com,1100,Downtown,N,Visual,1984,R,1910,2017,1984,0,0,0,Y,1000,N,0,Y,N,N,,N,3,,,,,,,0,1922 Pike Pl Seattle WA 98101,"(47.608329300000001, -122.34081279999999)"
MIA Gallery,(206) 467-4927,www.m-i-a-gallery.com,682,Downtown,N,Visual,2011,R,,2014,1990,0,0,0,,,Y,0,Y,N,Y,,N,3,,,,,,,0,1203 2nd Ave Seattle WA 98101,"(47.606624600000004, -122.33691570000001)"
Miller School of Art,(206) 861-9265,www.millerschoolart.com,1738,Georgetown,N,Visual,2009,R,1929,2020,2003,1,0,0,Y,1500,,0,Y,Y,N,,N,3,,,,,,,0,1226 S Bailey St Seattle WA 98108,"(47.5480284, -122.3164558)"
Municipal Tower Gallery,(206) 684-7171,www.seattle.gov/arts/publicart/municipal_tower.asp,625,Downtown,,Visual,2003,Other,1990,0,1970,3,0,0,Y,625,Y,0,Partial,N,N,,Y,5,,,,,,,0,700 Fifth Ave 3rd Level Seattle WA 98104,"(47.605016249999998, -122.3295729)"
New Foundation,(206) 512-7247,www.thenewest.org,1800,Central District,Y,Visual,2012,R,1919,2014,2011,0,0,0,N,0,Partial,,Y,N,N,,N,5,,,,,,,0,312 2nd Ave South Seattle WA,"(47.599536999999998, -122.331177)"
Northwest Woodworkers Gallery,(206) 625-0542,www.nwwoodgallery.com,4000,Belltown,Y,Visual,2011,R,,2015,1980,4,0,0,Y,4050,N,0,Y,N,N,,N,3,,,,,,,0,2111 1st Ave Seattle WA 98121,"(47.611944899999997, -122.344463)"
Photographic Center Northwest,(206) 720-7222,www.pcnw.org,10440,Capitol Hill,Y,Visual,1997,O,1923,0,1983,3,0,0,Y,343,Y,25,Y,N,N,,Y,2,,,,,,,0,900 12th Ave Seattle WA 98122,"(47.610562250000001, -122.31637189999999)"
Platform Gallery in Tashiro Kaplan,(206) 323-2808,www.platformgallery.com,,Pioneer Square,N,Visual,2004,R,1900,,2004,0,0,0,Y,800,Partial,0,Y,N,N,,N,5,,,,,,,0,114 3rd Ave S Seattle WA 98104,"(47.601160999999998, -122.33005919999999)"
Pound Arts,(206) 323-0557,www.poundarts.com,5000,Capitol Hill,,Visual,1988,R,1925,It's month to month.,1988,0,0,0,Y,500,,0,N,Y,N,,N,3,,,,,,,0,1216 10th Ave Seattle WA 98122,"(47.612748400000001, -122.3192097)"
Pratt Fine Arts Center,(206) 328-2200,www.pratt.org,17021,Central District,Y,Visual,1976,Other,1920,2026,1976,0,0,0,Y,350,Partial,50,Y,N,N,,Y,4,,,,,,,0,1902 S Main St Seattle WA 98144,"(47.600253600000002, -122.2949954)"
Push/Pull,,www.pushpullstudio.com,350,Greenwood,Y,Visual,2012,R,1929,2014,2012,0,0,0,Y,350,N,0,N,Y,N,,N,3,,,,,,,0,,
Q,(206) 352-2525,www.qcafe.org,2500,Interbay,Y,Visual,2002,R,1977,2014,2002,0,0,0,Y,100,,0,Y,Y,N,,N,3,,,,,,,0,3223 15th Ave W Seattle WA 98119,"(47.649220849999999, -122.3770904)"
RE Welch Gallery,(206) 264-8141,www.rewelch.com,2000,Downtown,N,Visual,2007,R,1940,2016,2006,0,0,0,Y,2000,Partial,,Y,N,Y,,N,4,,,,,,,0,1214 1st Ave Seattle WA 98101,"(47.6065659, -122.3374584)"
Reel Grrls,(206) 323-0693,www.reelgrrls.org,3000,Central District,Y,Visual,2008,R,1927,It's month to month.,2000,5,0,0,N,0,Y,0,Y,N,N,,Y,2,,,,,,,0,1409 21st Ave Seattle WA 98122,"(47.613150400000002, -122.3051798)"
RxsRKives Studio,,www.rxsrkives.com,2400,Mount Baker,N,Visual,1988,O,1900,0,1979,3,0,0,N,0,N,1,Y,N,N,,N,1,,,,,,,0,,
Seattle ArtREsource (CLOSED),(206) 838-2695,www.seattleartresource.com,2500,Pioneer Square,N,Visual,2006,O,1905,0,2006,1,0,0,Y,2500,N,8,Y,N,N,,N,5,,,,,,3/28/15,1,625 1st Ave #200 Seattle WA 98104,"(47.602443100000002, -122.3344096)"
Steinbrueck Native Gallery,(206) 441-3821,www.steinbruecknativegallery.com,1500,Belltown,N,Visual,2006,R,1992,0,2006,0,0,0,Y,,Y,0,Y,,N,,N,4,,,,,,,0,2030 Western Ave Seattle WA 98121,"(47.611228699999998, -122.3444605)"
Tasty Gallery,(206) 706-3020,www.shoptastyart.com,1000,Greenwood,N,Visual,2009,R,,It's month to month.,2009,0,0,0,Y,1000,,0,Y,N,N,,N,3,,,,,,,0,7513 Greenwood Ave N Seattle WA 98103,"(47.683737000000001, -122.3555197)"
The Legacy Ltd,(206) 624-6350,www.thelegacyltd.com,1250,Downtown,N,Visual,1982,R,1892,2015,1932,2,0,0,Y,800,Partial,0,Y,N,N,,N,3,,,,,,,0,1003 1st Ave Seattle WA 98104,"(47.604826699999997, -122.33674499999999)"
Traver Gallery,(206) 587-6501,www.travergallery.com,5000,Downtown,N,Visual,1992,R,,,1976,2,0,0,Y,5000,Y,0,Y,N,Y,,N,5,,,,,,,0,110 Union St #200 Seattle WA 98101,"(47.608096400000001, -122.3388114)"
True Love Art Gallery,(206) 227-3572,www.trueloveart.com,1500,Capitol Hill,N,Visual,2011,R,1960,2016,2010,0,0,0,Y,1500,N,0,Y,N,Y,,N,3,,,,,,,0,1525 Summit Ave Seattle WA 98122,"(47.614958399999999, -122.3257242)"
Twilight Artist Collective,(206) 933-2444,www.twilightart.net,1100,West Seattle,N,Visual,2006,R,1900,2018,2012,0,0,48,Y,360,,0,Y,Y,N,,N,4,,,,,,,0,306 SW Alaska St Seattle WA 98116,"(47.561085499999997, -122.3854525)"
Vermillion Gallery,(206) 709-9797,www.vermillionseattle.com,2100,Capitol Hill,N,Visual,2008,R,1906,2016,2008,0,0,0,Y,600,Y,0,Y,N,Y,,N,4,,,,,,,0,1508 11th Ave Seattle WA 98122,"(47.614414500000002, -122.31790290000001)"
Vetri Glass Gallery,(206) 667-9608,www.vetriglass.com,1500,Downtown,N,Visual,2004,O,1950,2017,2004,1,0,0,Y,1500,Y,0,Y,N,N,,N,4,,,,,,,0,1404 1st Ave Seattle WA 98101,"(47.608131499999999, -122.3390359)"
Wing Luke Museum,(206) 623-5124,www.wingluke.org,58000,International District,Y,Visual,2007,O,1910,0,1967,2,1,59,Y,1090,Y,0,Y,N,N,,Y,5,,,,,,,0,719 S King St Seattle WA 98104,"(47.598585999999997, -122.3229832)"
Woodside/Braseth Gallery,(206) 622-7243,www.woodsidebrasethgallery.com,4200,South Lake Union,N,Visual,2003,R,1920,2014,1959,4,0,0,Y,4200,,0,Y,N,N,,N,1,,,,,,,0,2101 9th Ave Seattle WA 98121,"(47.617164099999997, -122.33744129999999)"
Davidson Galleries,(206) 624-7684,www.davidsongalleries.com,4134,Pioneer Square,N,Visual,1986,R,1896,,1973,7,0,0,Y,3125,Partial,0,Y,N,Y,,N,4,,,,,,,0,313 Occidental Ave S Seattle WA 98104,"(47.599531200000001, -122.3331168)"
Greg Kucera Gallery,(206) 624-0770,www.gregkucera.com,8000,Pioneer Square,N,Visual,1998,O,1904,0,1983,1,0,0,,,N,3,Y,Y,Y,,N,5,,,,,,,0,212 3rd Ave S Seattle WA 98104,"(47.600421699999998, -122.3298023)"
Henry Art Museum,(206) 543-2280,www.henryart.org,40000,University District,Y,Visual,1927,Other,1927,2017,1927,0,1,150,Y,16004,Y,0,N,N,Y,,Y,5,,,,,,,0,15th Ave NE Seattle WA 98105,"(47.653906499999998, -122.3121096)"
Prographica Gallery,(206) 322-3851,www.prographicadrawings.com,1200,Madrona,N,Visual,2010,O,1918,0,2010,0,0,0,Y,1000,Y,,Y,Y,N,,N,5,,,,,,,0,3419 E Denny Way Seattle WA 98122,"(47.618208600000003, -122.2880059)"
Roq La Rue Gallery,(206) 374-8977,www.roqlarue.com,1850,Pioneer Square,N,Visual,2012,R,1909,2016,1998,4,0,0,Y,1200,,1,Y,N,,,N,3,,,,,,,0,532 1st Ave S. Seattle WA 98104,"(47.597430600000003, -122.3339422)"
Seattle Art Museum Olympic Sculture Park,(206) 654-3100,www.seattleartmuseum.org/visit/OSP,392040,Downtown,Y,Visual,2007,O,2007,0,1933,0,1,300,Y,,Y,,Y,Y,Y,,Y,5,,,,,,,0,2901 Western Ave Seattle WA 98121,"(47.6163466, -122.3538499)"
Winston Wachter Fine Art,(206) 652-5855,www.winstonwachter.com,4500,South Lake Union,N,Visual,1999,O,,,1994,1,0,0,Y,4000,Y,6,Y,N,N,,N,5,,,,,,,0,203 Dexter Ave N Seattle WA 98109,"(47.619895550000003, -122.3427626)"
Adefua Cultural Exchange Workshop,(206) 722-6602,www.planetafua.com,500,Rainier Valley,Y,Performance,1994,R,1905,9/14/16,1986,1,0,0,N,0,Partial,3,Y,N,N,,N,3,,,,,,,0,6716 Rainier Ave S Seattle WA 98118,"(47.542033099999998, -122.272057)"
Museum of Flight,(206) 764-5720,www.museumofflight.org,375000,Boeing Field,Y,Multi-use,2007,O,1914,,1965,1,2,349,Y,200,Y,567,Y,N,Y,,N,5,,,,,,,0,9404 East Marginal Way S Seattle WA 98108,"(47.518427449999997, -122.29769810000001)"
Friends of KEXP,(206) 520-5800,www.kexp.org,6288,South Lake Union,Y,Music,2003,R,1945,12/31/15,2002,1,0,0,N,0,,19,Y,N,N,,Y,3,,,,,,,0,113 Dexter Ave North Seattle WA 98109,"(47.619087550000003, -122.3428109)"
Broadway Bound Children's Theatre,(206) 526-5437,www.broadwaybound.org,10000,University District,Y,Performance,2002,R,1908,,1996,2,0,0,N,0,Y,101,Y,N,N,,N,3,,,,,,,0,5031 University Way NE Seattle WA 98105,"(47.6656768, -122.31364910000001)"
Pipsqueak,,www.pipsqueak.bandcamp.com,700,Central District,,Visual,2013,R,1910,2015,2009,,1,12,Y,600,Partial,,Y,N,N,,N,3,,,,,,,0,173 16th Ave Seattle WA 98122,"(47.603434300000004, -122.3115241)"
Sundance Cinemas LLC-Sundance Seattle,(206) 633-0059,www.sundancecinemas.com/seattle_showtimes.html,12500,University District,N,Cinema,2013,R,,,2006,5,10,,Y,70,Y,,Y,Y,Y,,N,5,,,,,,,0,4500 9th Ave NE Seattle WA 98105,"(47.661742799999999, -122.3180727)"
Jeffrey Moose Gallery,(206) 467-6951,www.jeffreymoosegallery.com,2400,Downtown,N,Visual,1995,R,1972,It's month-to-month.,1992,2,0,0,Y,2000,Y,80,N,N,Y,,N,2,,,,,,,0,1333 5th Ave # 2 Seattle WA 98101,"(47.609191699999997, -122.3345412)"
Langston Hughes Performing Arts Institute,(206) 684-4757,www.langstoninstitute.org,30001,Central District,Y,Performance,1969,,1915,,1969,0,1,300,N,0,Partial,45,Y,Y,Y,,Y,5,,,,,,,0,104 17th Ave S Seattle WA 98144,"(47.601296949999998, -122.3098251)"
Museum of History and Industry (MOHAI),(206) 324-1126,www.mohai.org,52000,South Lake Union,Y,Heritage,2011,O,1942,,1914,1,2,100,Y,26000,Y,9,N,Y,N,,Y,5,,,,,,,0,860 Terry Ave N Seattle WA 98109,"(47.627589800000003, -122.3369252)"
Seattle Youth Symphony,(206) 362-2300,www.syso.org,2500,Northgate,Y,Music,1989,R,1960,2017,1942,3,0,0,N,0,Y,8,Y,N,N,,Y,5,,,,,,,0,11065 5th Ave NE Suite A Seattle WA 98125,"(47.710560350000002, -122.3236524)"
Longhouse Media,(206) 387-2468,www.longhousemedia.org,800,Capitol Hill,Y,Multi-use,2007,R,1920,,2005,1,2,300,N,0,Y,,Y,Y,N,,Y,4,,,,,,,0,1515 12th Ave Seattle WA 98122,"(47.614429000000001, -122.31725299999999)"
911 Media Arts Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,909 NE 43rd St #206 Seattle WA 98105,"(47.659365100000002, -122.31802740000001)"
Admiral Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2343 California Ave SW Seattle WA 98116,"(47.5819689, -122.3869421)"
Bryan Ohno Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,521 S Main St Seattle WA 98104,"(47.599916700000001, -122.32675740000001)"
Cornish College of the Arts- Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Lenora St Seattle WA 98121,"(47.617963000000003, -122.33614799999999)"
Artforte Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,307 Occidental Ave S Seattle WA 98104,"(47.599853799999998, -122.3331316)"
Cornish College of the Arts-Kerry Hall/Poncho Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,710 E Roy St Seattle WA 98102,"(47.625334700000003, -122.3230672)"
Cornish College of the Arts- Notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1001 Lenora St Seattle WA 98121,"(47.617892400000002, -122.3357243)"
Cornish College of the Arts- Raisbeck Performance Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2015 Boren Ave Seattle WA 98121,"(47.617857299999997, -122.3348113)"
East West Bookshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6500 Roosevelt Way NE Seattle WA 98115,"(47.676076799999997, -122.31706079999999)"
ArtFX Studio Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,420 N. 35th St. Seattle WA 98103,"(47.651361399999999, -122.35349840000001)"
Art On The Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8005 Greenwood Ave N Seattle WA 98103,"(47.687165299999997, -122.3554887)"
Bad Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2212 4th Ave Seattle WA 98121,"(47.615138299999998, -122.342923)"
Barnes & Noble- Westwood Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2600 SW Barton St Suite E-1 Seattle WA 98126,"(47.522038299999998, -122.36656739999999)"
Cornish College of the Arts- Annex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1020 Virginia St Seattle WA 98101,"(47.617600850000002, -122.3345624)"
Edge of Glass Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,513 N 36th St # H Seattle WA 98103,"(47.651356399999997, -122.35159849999999)"
Elliott Bay Recording Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,932 12th Ave Seattle WA 98122,"(47.6113827, -122.3164132)"
Azuma Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,530 1st Ave South Seattle WA 98104,"(47.5975149, -122.3339613)"
Blue Moon Tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,712 NE 45th St Seattle WA 98105,"(47.661495299999999, -122.31990039999999)"
Cornish College of the Arts-Commons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2002 9th Ave Seattle WA 98101,"(47.616673800000001, -122.335888)"
Degenerate Art Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,210 NW Bowdoin Pl Seattle WA 98107,"(47.6550814, -122.3596788)"
Eclectic Theater Company,(206) 679-3271,www.eclectictheatercompany.org,900,Capitol Hill,Y,Performance,2006,R,1910,2017,2000,0,1,49,N,0,No,0,Y,Y,Y,,N,3,,,,,,,0,1214 10th Ave Seattle WA 98122,"(47.612656100000002, -122.3191571)"
Flury and Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,322 1st Ave S Seattle WA 98104,"(47.599343500000003, -122.3339158)"
Baltic Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1207 Pine St Seattle WA 98101,"(47.6149287, -122.3282665)"
Bemis Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55 South Atlantic St Seattle WA 98134,"(47.590002200000001, -122.3362466)"
Blindfold Gallery (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/11/14,1,1718 E Olive Way Seattle WA 98102,"(47.620026699999997, -122.3227112)"
Electrokitty Recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4415 Densmore Ave N Seattle WA 98103,"(47.660837749999999, -122.33768379999999)"
Flamenco Gitana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9250 14th Ave NW Seattle WA 98117,"(47.697390900000002, -122.3736435)"
George Center for Community,(206) 362-3325,www.georgecfc.org,10000,Lake City Way,Y,Multi-use,2011,O,1959,,2011,0,1,100,Y,1500,Partial,50,Y,Y,Y,,N,4,,,,,,,0,2212 NE 125th St Seattle WA 98125,"(47.719929299999997, -122.30503280000001)"
Barnes & Noble- Downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600 Pine St Suite 107 Seattle WA 98101,"(47.612874150000003, -122.3352762)"
Barsuk Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,217 W. Galer St Seattle WA 98119,"(47.632130799999999, -122.3599365)"
Cornish College of the Arts-Centennial Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Virginia St Seattle WA 98101,"(47.617413399999997, -122.3349055)"
Egan's Ballard Jam House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1707 NW Market St Seattle WA 98107,"(47.668529399999997, -122.3793357)"
Francine Seders Gallery (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6701 Greenwood Ave N Seattle WA 98103,"(47.677918499999997, -122.35563519999999)"
Barnes & Noble-Northgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,401 NE Northgate Way #1100 Seattle WA 98125,"(47.708314799999997, -122.3281769)"
Chihuly Garden and Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.620568550000002, -122.35049100000001)"
Electric Coffin Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2629 NW Market St Seattle WA 98107,"(47.668581439999997, -122.3907201)"
Gallery 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1412 18th Ave Seattle WA 98122,"(47.613322699999998, -122.3086811)"
Central District Forum for Arts & Ideas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1404 E Yesler Way #202 Seattle WA 98122,"(47.601900200000003, -122.3137703)"
De Cajon Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Easy Street Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4559 California Ave SW Seattle WA 98116,"(47.5614664, -122.3870841)"
Fremont Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155 N 35th St Seattle WA 98103,"(47.6514144, -122.35559569999999)"
Hanson Scott Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121 Prefontaine Pl S Seattle WA 98104,"(47.601137299999998, -122.3295897)"
High Dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,513 N 36th St Seattle WA 98103,"(47.651356399999997, -122.35159849999999)"
Harvard Exit Theatre (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,807 E Roy St Seattle WA 98102,"(47.625008200000003, -122.32158219999999)"
Patrician Cameron Gallery (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/14,1,234 Dexter Ave N Seattle WA 98109,"(47.620709300000001, -122.3420916)"
Pink Door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1919 Post Alley Seattle WA 98101,"(47.610280500000002, -122.3424974)"
Re-bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1114 Howell St Seattle WA 98101,"(47.616707599999998, -122.33107560000001)"
Seattle Academy of Arts and Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201 E Union St Seattle WA 98122,"(47.612712899999998, -122.31634939999999)"
M. Rosetta Hunter Art Gallery - Seattle Central Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1701 Broadway Seattle WA 98122,"(47.6169084, -122.321152)"
